,Annisha,Conard,Habib,Ivana,Jinna,Joyceann,Katrice,Khaleel,Krystol,Lenell,Liza,Luci,Madina,Martinez,Ranardo,Sandra,Shalia,Shaquala,Umair,Wanisha
69,45.25267673154309,,50.191703833004354,19.935068960850145,46.00076108141953,33.20116504641345,35.074960894953335,41.7432166664769,38.53079297242306,33.44603379386949,28.308464810353563,21.044677855727507,31.982867193885355,2.3160112077830775,39.38492246666633,38.68142944334337,13.826560067337452,34.456859338804506,47.24315374724605,
70,46.57610069073099,,50.919700908112546,24.310669795681378,47.23399935741004,35.97746502829089,37.62536448052076,43.489725340208324,40.66457699233114,36.19281350134651,31.67460671786677,25.286509234904507,34.90603968310278,4.3160112077830775,41.41573647792487,40.79705340810976,17.826560067337454,37.08177846681826,48.326614753620504,
71,46.57610069073099,,50.919700908112546,24.310669795681378,47.23399935741004,35.97746502829089,37.62536448052076,43.489725340208324,40.66457699233114,23.0068569391063,31.67460671786677,7.9608222631334264,34.90603968310278,4.3160112077830775,41.41573647792487,16.37194220846993,17.826560067337454,37.08177846681826,48.326614753620504,
72,47.61878873117081,,51.44760244583235,27.99216958867386,48.19871582201086,38.27626189855304,39.72885875537991,44.89819851124532,42.407875691705,26.84287953047968,34.483361519445694,7.9608222631334264,37.33181769315027,10.36719970425154,43.07001069410012,22.37194220846993,22.27653117519675,39.24969642915252,49.16183871649834,
73,47.61878873117081,,51.44760244583235,12.8800189142034,48.19871582201086,38.27626189855304,39.72885875537991,44.89819851124532,42.407875691705,26.84287953047968,11.04009849238765,7.9608222631334264,24.033283678189548,10.36719970425154,17.756038846291023,22.37194220846993,22.27653117519675,39.24969642915252,49.16183871649834,
74,48.368080925523955,,51.75425595632875,16.8800189142034,48.88096423117295,40.105618073363345,41.39028417962427,45.962010701609245,43.759587293575606,29.99401777686364,16.018153042688944,13.29486351817545,24.033283678189548,15.42304624344193,21.95768189667295,26.039953293102005,25.955572468488946,40.96651649968715,49.73274312143903,
75,6.945713750511683,,51.75425595632875,16.8800189142034,31.405151402314164,40.105618073363345,41.39028417962427,7.802345820475173,43.759587293575606,29.99401777686364,16.018153042688944,13.29486351817545,24.033283678189548,15.42304624344193,21.95768189667295,26.039953293102005,25.955572468488946,40.96651649968715,49.73274312143903,
76,11.367459557762349,,51.46158450266154,20.2565519688541,33.253459436732484,41.105618073363345,42.1880317628303,12.133963254471881,44.30805465147432,31.990794661054576,19.485365131765725,17.048599616042157,26.657204101071258,18.952870986899946,24.79998150316272,28.452747055668606,28.377244145766966,45.96651649968715,49.65276001987656,
77,11.367459557762349,,51.46158450266154,20.2565519688541,33.253459436732484,41.105618073363345,42.1880317628303,12.133963254471881,44.30805465147432,31.990794661054576,19.485365131765725,17.048599616042157,14.051305347375337,18.952870986899946,24.79998150316272,28.452747055668606,28.377244145766966,45.96651649968715,49.65276001987656,
78,20.36745955776235,,51.22928047156953,23.324328050351124,34.946750943876395,41.968506582863654,42.93644989367185,16.060741596262403,44.83227031223454,33.817618953673616,22.634697876964623,20.455631865600484,17.775315674007874,22.158517512116145,27.38726837405317,30.653736654068947,32.377244145766966,46.315341958343105,49.61174775226327,
