,Bejamin,Courtni,Damone,Dondra,Glynis,Jenessa,Kaira,Leonardo,Marian,Mustafa,Randale,Raynor,Rosheena,Shawanda,Sherod,Shirlee,Tarrence,Turquoise,Tylar,Tyrice
0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2,11.79849098897061,15.805604452844772,34.7992523546466,40.976461484132244,44.94861287212143,33.50347789413931,40.7956034233747,53.403168233185966,30.65744619517551,30.701195386969026,58.74335140531735,36.17870284811021,48.517945119273264,41.28249055851008,49.826646697847735,36.39377542393129,39.330659294838654,65.04012130465233,35.0031543829019,34.35896309041064
3,11.79849098897061,15.805604452844772,34.7992523546466,40.976461484132244,44.94861287212143,33.50347789413931,40.7956034233747,40.448157488507,15.566573233141167,30.701195386969026,58.74335140531735,36.17870284811021,48.517945119273264,41.28249055851008,49.826646697847735,36.39377542393129,39.330659294838654,65.04012130465233,35.0031543829019,34.35896309041064
4,17.058490988970608,16.855604452844773,40.059252354646596,42.02646148413224,45.99861287212143,38.76347789413931,41.8456034233747,47.448157488507,20.826573233141165,35.961195386969024,59.79335140531735,41.43870284811021,49.56794511927326,46.542490558510075,50.87664669784773,41.653775423931286,40.38065929483865,66.09012130465233,35.0031543829019,39.61896309041064
5,17.058490988970608,16.855604452844773,40.059252354646596,42.02646148413224,45.99861287212143,38.76347789413931,41.8456034233747,47.448157488507,20.826573233141165,35.961195386969024,59.79335140531735,41.43870284811021,49.56794511927326,46.542490558510075,50.87664669784773,41.653775423931286,40.38065929483865,66.09012130465233,35.0031543829019,39.61896309041064
6,21.718490988970608,17.405604452844774,44.7192523546466,42.57646148413224,46.548612872121424,43.42347789413931,42.395603423374695,47.998157488507005,29.826573233141165,40.62119538696902,60.34335140531735,46.09870284811021,50.11794511927326,51.20249055851008,51.42664669784773,46.31377542393129,40.93065929483865,74.09012130465233,39.663154382901894,44.27896309041064
7,21.718490988970608,17.405604452844774,44.7192523546466,42.57646148413224,46.548612872121424,43.42347789413931,42.395603423374695,47.998157488507005,29.826573233141165,40.62119538696902,60.34335140531735,46.09870284811021,50.11794511927326,51.20249055851008,51.42664669784773,46.31377542393129,40.93065929483865,74.09012130465233,17.075255606612103,44.27896309041064
8,26.67849098897061,22.405604452844774,49.6792523546466,43.376461484132236,47.34861287212142,48.38347789413931,43.19560342337469,64.54226278907348,34.78657323314117,45.58119538696902,61.14335140531735,51.05870284811021,50.917945119273256,,52.22664669784773,51.27377542393129,41.730659294838645,74.89012130465233,22.035255606612104,49.23896309041064
9,11.856634659511059,22.405604452844774,49.6792523546466,43.376461484132236,47.34861287212142,48.38347789413931,43.19560342337469,64.54226278907348,34.78657323314117,45.58119538696902,49.20446485708453,51.05870284811021,50.917945119273256,,52.22664669784773,51.27377542393129,41.730659294838645,74.89012130465233,2.232519830180941,49.23896309041064
10,11.20663465951106,28.20560445284477,55.4792523546466,49.17646148413223,52.34861287212142,54.18347789413931,48.99560342337469,70.34226278907347,34.13657323314117,44.93119538696902,58.20446485708453,50.40870284811021,50.26794511927326,,51.57664669784773,50.62377542393129,41.08065929483865,74.24012130465232,1.5825198301809422,55.03896309041064
11,11.20663465951106,,59.51927257208865,49.17646148413223,52.34861287212142,58.223498111581364,48.99560342337469,70.34226278907347,38.176593450583226,44.93119538696902,58.20446485708453,54.448723065552265,50.26794511927326,,51.57664669784773,54.66379564137335,41.08065929483865,75.0,1.5825198301809422,55.03896309041064
12,10.70663465951106,,65.51927257208865,55.17646148413223,58.34861287212142,64.22349811158136,54.99560342337469,76.34226278907347,37.676593450583226,50.93119538696902,64.20446485708453,53.948723065552265,49.76794511927326,,51.07664669784773,54.16379564137335,40.58065929483865,74.5,1.0825198301809422,61.03896309041064
13,10.70663465951106,,65.51927257208865,55.17646148413223,58.34861287212142,64.22349811158136,16.25912174923178,76.34226278907347,16.20653913367044,50.93119538696902,64.20446485708453,53.948723065552265,49.76794511927326,,51.07664669784773,54.16379564137335,40.58065929483865,39.29241777991598,1.0825198301809422,49.72678919605703
14,11.620920373796775,,69.91927257208866,59.57646148413223,62.74861287212142,68.62349811158137,20.65912174923178,80.74226278907346,17.120824847956154,55.33119538696902,68.60446485708454,54.86300877983798,50.682230833558975,,51.990932412133446,55.078081355659066,41.494945009124365,47.29241777991598,1.9968055444666568,51.72678919605703
15,11.620920373796775,,69.91927257208866,59.57646148413223,62.74861287212142,68.62349811158137,20.65912174923178,80.74226278907346,17.120824847956154,55.33119538696902,68.60446485708454,54.86300877983798,50.682230833558975,,51.990932412133446,55.078081355659066,41.494945009124365,47.29241777991598,1.9968055444666568,51.72678919605703
16,12.478063230939632,,74.25260590542199,63.90979481746557,67.08194620545476,72.9568314449147,24.99245508256511,85.0755961224068,17.97796770509901,59.66452872030236,77.60446485708454,55.720151636980845,52.682230833558975,,52.84807526927631,55.93522421280193,42.352087866267226,48.14956063705884,2.8539484016095145,56.060122529390355
17,12.478063230939632,,74.25260590542199,63.90979481746557,67.08194620545476,72.9568314449147,4.67925185972609,85.0755961224068,17.97796770509901,59.66452872030236,77.60446485708454,55.720151636980845,52.682230833558975,,52.84807526927631,55.93522421280193,42.352087866267226,48.14956063705884,2.8539484016095145,56.060122529390355
