,Abdulrahman,Aiyana,Aleem,Almarosa,Aneesah,Anh,Annamaria,Asante,Ashanta,Blase,Caprice,Carissa,Catalina,Chandell,Cleve,Coby,Damin,Danton,Danyele,Deanza,Deisy,Denard,Devra,Domini,Donae,Earnest,Emmanuelle,Emylee,Estrellita,Fotini,Fulton,Garcelle,Glenford,Grady,Gricel,Ilse,Ivis,Jacob,Jacqueleen,Jamilee,Janiel,Jeanne,Jebediah,Jefferey,Jessalyn,Jessicaann,Jinna,Joaquina,Jovani,Jushua,Kaity,Kanani,Karilynn,Karmesha,Kasha,Kinisha,Kolt,Lacey,Ladale,Lai,Lashanna,Laurajean,Liborio,Lucina,Maeve,Marilu,Marison,Milo,Miriah,Monigue,Nelvin,Quron,Rafiq,Rechelle,Rhea,Rolondo,Ronney,Roth,Sameera,Selim,Sera,Shaqueena,Stephen,Takita,Tambra,Tanairi,Teneshia,Terran,Terrelle,Tiaira,Tory,Tristy,Tyce,Tzipporah,Verlin,Viktoria,Vito,Winn,Wynton,Yonah
17,15.116475359204347,76.1280144801321,76.13297955268936,79.77140689764092,51.367168156774724,40.42155403999019,11.942890817663795,69.97590109051251,76.13297955268936,76.13297955268936,66.87616384635677,76.13297955268936,76.13297955268936,76.13297955268936,26.274669190137754,69.55995879752908,1.172410099330083,76.13297955268936,76.13297955268936,73.97862436768514,76.13297955268936,1.5694615430357501,76.13297955268936,76.13297955268936,71.97042618365786,78.4549520787586,76.13297955268936,76.13297955268936,33.57911679034013,76.13297955268936,76.13297955268936,38.04729484392766,77.0,76.13297955268936,47.59232353092032,,76.13297955268936,77.47343325201143,67.88110340711603,38.123133151979786,75.0,76.13297955268936,48.648659638977215,76.13297955268936,23.615180945007317,76.13297955268936,77.59304296672016,76.13297955268936,55.07932406270488,9.474095179238532,62.0878642106953,15.987350380681125,61.39260313263986,72.87637891692196,66.50211531291268,72.87637891692196,,30.164813652708617,21.749247493455194,27.590601208628595,76.71314386919536,72.87637891692196,72.87637891692196,43.25939168963214,56.086622066654016,70.49640080551875,61.58831603081199,72.87637891692196,72.5105064486539,10.016007805215658,49.335057387367506,15.78793184111913,72.87637891692196,76.0,,50.37039807568739,72.87637891692196,72.87637891692196,72.87637891692196,,72.87637891692196,73.49697964784082,71.61841467601971,73.33502313337905,,72.87637891692196,66.01364171626709,48.2258765578725,67.7494053657825,,11.199174296924825,35.48577477234706,51.351582952755095,75.18965721026348,70.67730448233378,61.31622905512863,72.87637891692196,74.83744404728041,76.13297955268936,20.907623742494714
18,15.116475359204347,76.9550114220275,76.9588417680316,79.76573642692277,57.85305315670939,49.408969246303506,27.43887059859434,72.20891301822772,76.9588417680316,76.9588417680316,69.81759526203858,84.13297955268936,76.9588417680316,76.9588417680316,34.27466919013776,71.88803092003161,19.129894786852876,76.9588417680316,76.9588417680316,75.29684676611592,76.9588417680316,19.436203384216753,76.9588417680316,83.13297955268936,73.74760578304054,78.75014654440952,76.9588417680316,76.9588417680316,44.130314830821035,76.9588417680316,76.9588417680316,47.57732748891124,77.62771181324013,76.9588417680316,54.94091826602468,,76.9588417680316,77.99294578397098,70.59286414009313,47.6358335745436,78.0,76.9588417680316,55.755837432629136,76.9588417680316,36.4435546857806,76.9588417680316,78.08521968077787,76.9588417680316,60.71682631952498,25.534297926281724,66.12362218019113,20.987350380681125,65.58725731111204,74.44651046001182,73.50211531291268,74.44651046001182,,41.49632263247445,35.0040649990413,39.510425299615775,77.40641429508494,74.44651046001182,74.44651046001182,51.59824240923547,61.493914637949054,72.6104567984086,65.73824163386283,74.44651046001182,74.16425513933271,25.95236087250256,56.285364613240546,19.787931841119132,74.44651046001182,77.0,,57.08408669084643,74.44651046001182,74.44651046001182,74.44651046001182,,74.44651046001182,74.92527799108184,73.47604361428411,74.80033530779696,,74.44651046001182,69.15219548059636,55.42967795225118,70.49126460442604,,26.86512438027618,45.60122179106396,54.351582952755095,76.23110799914329,72.75001642571036,65.52833790173,74.44651046001182,75.95939026171476,76.9588417680316,34.35478744382372
19,15.116475359204347,76.9550114220275,76.9588417680316,79.76573642692277,57.85305315670939,36.00411548276911,15.899336896534724,72.20891301822772,76.9588417680316,76.9588417680316,69.81759526203858,84.13297955268936,76.9588417680316,76.9588417680316,34.27466919013776,75.0,19.129894786852876,76.9588417680316,76.9588417680316,75.29684676611592,76.9588417680316,19.436203384216753,76.9588417680316,83.13297955268936,73.74760578304054,78.75014654440952,76.9588417680316,76.9588417680316,16.89907971070306,76.9588417680316,76.9588417680316,10.591818207135319,77.62771181324013,76.9588417680316,54.94091826602468,,75.0,77.99294578397098,70.59286414009313,,78.0,76.9588417680316,33.96366328499989,76.9588417680316,36.4435546857806,76.9588417680316,19.842182033715098,76.9588417680316,60.71682631952498,25.534297926281724,31.42025380270166,1.3153966813286928,65.58725731111204,74.44651046001182,73.50211531291268,74.44651046001182,,41.49632263247445,35.0040649990413,10.52297260304777,77.40641429508494,74.44651046001182,74.44651046001182,51.59824240923547,61.493914637949054,72.6104567984086,65.73824163386283,74.44651046001182,74.16425513933271,25.95236087250256,56.285364613240546,19.787931841119132,74.44651046001182,77.0,,57.08408669084643,74.44651046001182,74.44651046001182,74.44651046001182,,74.44651046001182,74.92527799108184,73.47604361428411,74.80033530779696,,74.44651046001182,69.15219548059636,55.42967795225118,70.49126460442604,,,45.60122179106396,44.70687900741174,76.23110799914329,72.75001642571036,65.52833790173,74.44651046001182,75.95939026171476,76.9588417680316,11.165706975969758
20,31.152698143689204,77.99745219010615,78.00035380498741,80.12667014915792,63.52708154881746,46.97578236425363,20.899336896534724,74.40212431591095,78.00035380498741,78.00035380498741,72.59062133948692,83.43500251135357,78.00035380498741,78.00035380498741,45.665669101991114,76.51646581730823,34.19299725074286,78.00035380498741,78.9588417680316,76.74133714566645,78.00035380498741,34.42503623192502,78.00035380498741,82.67746915062158,75.56773541717362,79.35732693233224,78.00035380498741,78.00035380498741,18.89907971070306,78.00035380498741,78.00035380498741,14.591818207135319,78.50704517822717,78.00035380498741,61.321042218172174,,79.0,78.78372209552842,76.59286414009313,,78.78906589950421,78.00035380498741,45.43007175346453,78.00035380498741,47.30867222054832,78.00035380498741,27.842182033715098,78.00035380498741,65.69648525721925,39.04454628443692,43.50335422062154,20.697920631111415,69.38599921448943,76.44651046001182,75.38176819630998,76.09717902595098,,51.136312504206195,46.21821076041364,27.672966563286238,78.33940492557744,76.09717902595098,76.09717902595098,58.78885374254095,66.28515558266061,74.70630712519241,69.50037487592068,76.09717902595098,75.88336120429244,39.36124291308511,62.33950517790247,34.691482271947365,76.09717902595098,78.03153253877221,,62.94456379764209,76.09717902595098,76.09717902595098,76.09717902595098,,76.09717902595098,76.4598614027718,75.3620180148279,76.36521315200415,,76.09717902595098,72.08655880682065,61.69129398586965,73.10094834044779,,,54.24591055927844,47.70687900741174,77.44907119732329,74.81202819868481,69.34136579628792,76.09717902595098,77.24323594651855,78.00035380498741,28.159859292863803
21,3.7744827375714465,77.99745219010615,78.00035380498741,80.12667014915792,46.223190040698455,9.99905042976513,20.899336896534724,59.519511664896356,78.00035380498741,63.98888380356523,72.59062133948692,66.71529543027725,51.866566585036495,78.00035380498741,45.665669101991114,76.51646581730823,34.19299725074286,78.00035380498741,78.9588417680316,76.74133714566645,67.03139677163561,34.42503623192502,78.00035380498741,82.67746915062158,75.56773541717362,79.35732693233224,78.00035380498741,78.00035380498741,18.89907971070306,78.00035380498741,78.00035380498741,14.591818207135319,78.50704517822717,78.00035380498741,61.321042218172174,,79.0,78.78372209552842,76.59286414009313,,78.78906589950421,78.00035380498741,11.005167505155983,78.00035380498741,19.964029171859906,78.00035380498741,27.842182033715098,78.00035380498741,65.69648525721925,39.04454628443692,43.50335422062154,20.697920631111415,69.38599921448943,76.44651046001182,75.38176819630998,76.09717902595098,,11.131310944041317,46.21821076041364,27.672966563286238,78.33940492557744,76.09717902595098,76.09717902595098,46.388831958932464,66.28515558266061,74.70630712519241,59.37755917272504,76.09717902595098,75.88336120429244,8.085869889588993,62.33950517790247,34.691482271947365,76.09717902595098,18.131335844851876,,62.94456379764209,76.09717902595098,76.09717902595098,76.09717902595098,,76.09717902595098,76.4598614027718,75.3620180148279,76.36521315200415,,76.09717902595098,72.08655880682065,6.919090323990382,73.10094834044779,,,54.24591055927844,2.1851898609880145,77.44907119732329,15.044958072751687,34.83544228957674,33.71962756247318,77.24323594651855,78.00035380498741,28.159859292863803
22,20.811289553603892,78.30790482002236,78.31015254785795,79.9572975445783,53.69406169768379,18.99905042976513,34.07700983310711,66.51951166489636,78.31015254785795,67.98888380356523,74.11951845497052,74.71529543027725,58.06568752142337,78.31015254785795,53.26217966504257,77.16066287700059,44.37490656919955,78.31015254785795,79.052642562137,77.33485882128075,73.03139677163561,44.55465491565144,78.31015254785795,81.93326684210027,76.42573153148257,79.3613279778535,78.31015254785795,78.31015254785795,32.52751621009598,78.31015254785795,78.31015254785795,29.19090815804463,78.70265960006651,78.31015254785795,65.38957057317543,,79.08452567117976,78.91698659862915,77.2198446236292,,78.92112616140226,78.31015254785795,17.00516750515598,78.31015254785795,33.352476325515134,78.31015254785795,39.455265360354176,78.31015254785795,68.77899526059781,48.13314543102328,51.587148502371775,33.92098328759349,71.63706690723146,77.10647215553035,76.28167254503903,76.83586353918409,,14.131310944041317,53.690204512166275,39.32418307043587,78.57279754818605,76.83586353918409,76.83586353918409,52.388831958932464,69.23500707837215,75.75842851936952,68.37755917272504,76.83586353918409,76.67023016288988,24.1510935276642,66.17852005054925,44.7610565938034,76.83586353918409,31.93278557612119,,66.64722701457131,76.83586353918409,76.83586353918409,76.83586353918409,,76.83586353918409,77.11681442592155,76.2663731223065,77.043495423729,,76.83586353918409,73.72904782674453,23.247251007231988,74.51484183600388,,,59.90883966263413,19.580148280968427,77.88310302087558,29.54193168495812,44.87257481799243,34.71962756247318,77.72365332072104,78.31015254785795,39.7013531588199
23,20.811289553603892,78.30790482002236,78.31015254785795,79.9572975445783,8.324150105727028,18.99905042976513,34.07700983310711,66.51951166489636,78.31015254785795,67.98888380356523,74.11951845497052,74.71529543027725,16.47450495137634,78.31015254785795,15.605327783693816,34.50446722717014,44.37490656919955,78.31015254785795,79.052642562137,77.33485882128075,73.03139677163561,44.55465491565144,78.31015254785795,81.93326684210027,76.42573153148257,79.3613279778535,78.31015254785795,78.31015254785795,20.279811194499658,78.31015254785795,8.215281509176364,29.19090815804463,35.49935523032825,78.31015254785795,65.38957057317543,,79.08452567117976,78.91698659862915,77.2198446236292,,78.92112616140226,78.31015254785795,17.00516750515598,78.31015254785795,33.352476325515134,78.31015254785795,19.549253503186236,61.309319633850976,68.77899526059781,18.5669614728909,8.88970882474046,33.92098328759349,71.63706690723146,77.10647215553035,56.86652610982773,76.83586353918409,,14.131310944041317,53.690204512166275,39.32418307043587,78.57279754818605,76.83586353918409,76.83586353918409,43.952551849109895,19.50596571883511,75.75842851936952,68.37755917272504,76.83586353918409,76.67023016288988,,66.17852005054925,44.7610565938034,76.83586353918409,31.93278557612119,,66.64722701457131,55.09060033543875,76.83586353918409,76.83586353918409,,76.83586353918409,77.11681442592155,76.2663731223065,77.043495423729,,76.83586353918409,73.72904782674453,23.247251007231988,74.51484183600388,,,59.90883966263413,19.580148280968427,77.88310302087558,29.54193168495812,44.87257481799243,34.71962756247318,77.72365332072104,78.31015254785795,39.7013531588199
24,33.6126721182926,78.4196263470684,78.42137799519207,84.9572975445783,23.881478671569006,32.2003991506199,43.950611466917316,69.23296396555172,78.42137799519207,70.37804163416412,75.15562836594,75.61991572510772,30.2330277988545,78.42137799519207,29.555680421298618,44.28372783910349,51.97573408620043,78.42137799519207,78.99999842234189,77.6613342749858,74.30765812917718,52.11581147849298,78.42137799519207,81.24486100537467,76.95285387708124,79.24055611828645,78.42137799519207,86.31015254785795,22.279811194499658,78.42137799519207,8.215281509176364,40.14288586259745,37.49935523032825,78.42137799519207,68.35240397878806,,79.02484484157772,41.74982388070416,77.57170402691028,,78.89750805276536,78.42137799519207,30.64657166831453,78.42137799519207,43.385984496069355,78.42137799519207,32.62917089332299,67.30931963385098,70.99377332074859,31.863673414266326,24.322217026672156,43.82902040888879,73.22106069862093,77.48335317416235,63.86652610982773,77.27246862330041,,28.406983149977165,59.2351201669964,48.03971914718742,78.62605652198164,77.27246862330041,77.27246862330041,51.64659421381532,32.59543684196886,76.43282647404318,70.68093528094838,77.27246862330041,77.14339098845211,,68.96723013781855,52.276659738913956,77.27246862330041,42.27962339755329,,69.33249218648581,61.09060033543875,77.27246862330041,77.27246862330041,,77.27246862330041,77.49141287704907,76.82866630685929,17.917647871991438,,77.27246862330041,74.85133567870035,35.51101018306431,75.46370279010307,,,64.08128544579344,32.6532471087242,78.08857947270069,40.416437532217614,52.36356558447997,44.45140169696626,77.96432075967016,82.31015254785795,42.7013531588199
25,33.6126721182926,78.4196263470684,78.42137799519207,84.9572975445783,23.881478671569006,32.2003991506199,30.466278228800025,56.61785777257083,78.42137799519207,60.096404344173564,64.40348386366037,75.61991572510772,30.2330277988545,78.42137799519207,5.314439044244381,9.217690783625972,51.97573408620043,78.42137799519207,78.99999842234189,77.6613342749858,74.30765812917718,52.11581147849298,78.42137799519207,81.24486100537467,76.95285387708124,79.24055611828645,78.42137799519207,86.31015254785795,22.279811194499658,78.42137799519207,8.215281509176364,40.14288586259745,37.49935523032825,78.42137799519207,68.35240397878806,,79.02484484157772,41.74982388070416,77.57170402691028,,78.89750805276536,78.42137799519207,30.64657166831453,78.42137799519207,43.385984496069355,78.42137799519207,12.230843684719659,49.01686346501876,70.99377332074859,9.092728944079422,24.322217026672156,43.82902040888879,73.22106069862093,28.522568943233505,63.86652610982773,77.27246862330041,,17.242191075307062,59.2351201669964,48.03971914718742,78.62605652198164,77.27246862330041,77.27246862330041,24.537987915906236,32.59543684196886,13.292208656696443,70.68093528094838,77.27246862330041,77.14339098845211,,68.96723013781855,52.276659738913956,77.27246862330041,16.465002821773126,,69.33249218648581,61.09060033543875,62.57642217139464,77.27246862330041,,77.27246862330041,77.49141287704907,76.82866630685929,17.917647871991438,,77.27246862330041,74.85133567870035,14.295316926725025,75.46370279010307,,,64.08128544579344,32.6532471087242,78.08857947270069,11.984031266084383,52.36356558447997,44.45140169696626,77.96432075967016,82.31015254785795,42.7013531588199
26,33.6126721182926,78.4196263470684,78.42137799519207,100.0,23.881478671569006,32.2003991506199,30.466278228800025,56.61785777257083,78.42137799519207,64.09640434417356,71.40348386366037,75.61991572510772,30.2330277988545,78.42137799519207,13.31443904424438,9.217690783625972,51.97573408620043,78.42137799519207,78.99999842234189,77.6613342749858,74.30765812917718,52.11581147849298,78.42137799519207,81.24486100537467,76.95285387708124,79.24055611828645,78.42137799519207,86.31015254785795,22.279811194499658,78.42137799519207,8.215281509176364,40.14288586259745,37.49935523032825,78.42137799519207,68.35240397878806,,79.02484484157772,41.74982388070416,77.57170402691028,,78.89750805276536,78.42137799519207,30.64657166831453,78.42137799519207,43.385984496069355,78.42137799519207,12.230843684719659,55.01686346501876,70.99377332074859,9.092728944079422,24.322217026672156,43.82902040888879,73.22106069862093,28.522568943233505,63.86652610982773,77.27246862330041,,20.242191075307062,59.2351201669964,48.03971914718742,78.62605652198164,77.27246862330041,77.27246862330041,30.537987915906236,32.59543684196886,17.292208656696445,70.68093528094838,77.27246862330041,77.14339098845211,,68.96723013781855,52.276659738913956,77.27246862330041,16.465002821773126,,69.33249218648581,61.09060033543875,66.57642217139464,77.27246862330041,,77.27246862330041,77.49141287704907,76.82866630685929,22.917647871991438,,77.27246862330041,74.85133567870035,14.295316926725025,75.46370279010307,,,64.08128544579344,32.6532471087242,78.08857947270069,11.984031266084383,52.36356558447997,44.45140169696626,77.96432075967016,82.31015254785795,42.7013531588199
