,Alejandrina,Ashraf,Beau,Carmelo,Didi,Dornell,Gale,Georganna,Janifer,Jolanda,Joshaua,Lasonia,Levina,Marlenne,Nesha,Rashard,Shalandria,Shaylen,Tre,Wilmary
0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2,51.022222222222226,55.8,55.8,55.8,55.8,30.391504718433115,55.8,55.8,55.8,55.8,51.022222222222226,51.022222222222226,51.022222222222226,51.022222222222226,51.022222222222226,51.022222222222226,51.022222222222226,15.502440479924005,55.8,55.8
3,51.022222222222226,55.8,18.11300632905747,55.8,55.8,30.391504718433115,55.8,55.8,55.8,55.8,51.022222222222226,51.022222222222226,51.022222222222226,51.022222222222226,20.084088464141473,51.022222222222226,51.022222222222226,15.502440479924005,55.8,55.8
4,52.37222222222223,61.419999999999995,22.11300632905747,61.419999999999995,61.419999999999995,36.011504718433116,61.419999999999995,61.419999999999995,61.419999999999995,57.15,53.022222222222226,52.37222222222223,52.37222222222223,52.37222222222223,21.434088464141475,52.37222222222223,52.37222222222223,16.852440479924006,61.419999999999995,61.419999999999995
5,52.37222222222223,61.419999999999995,22.11300632905747,61.419999999999995,61.419999999999995,36.011504718433116,61.419999999999995,61.419999999999995,61.419999999999995,57.15,53.022222222222226,52.37222222222223,52.37222222222223,52.37222222222223,14.771757597037237,52.37222222222223,52.37222222222223,16.852440479924006,61.419999999999995,61.419999999999995
6,53.72222222222223,67.03999999999999,26.11300632905747,67.03999999999999,63.419999999999995,41.63150471843311,67.03999999999999,67.03999999999999,67.03999999999999,58.5,54.37222222222223,53.72222222222223,53.72222222222223,53.72222222222223,16.121757597037238,53.72222222222223,53.72222222222223,18.202440479924007,67.03999999999999,67.03999999999999
7,53.72222222222223,67.03999999999999,8.008305273966432,67.03999999999999,53.31062725139039,41.63150471843311,67.03999999999999,67.03999999999999,67.03999999999999,58.5,54.37222222222223,53.72222222222223,53.72222222222223,53.72222222222223,16.121757597037238,53.72222222222223,53.72222222222223,18.202440479924007,67.03999999999999,67.03999999999999
8,54.82222222222223,72.35999999999999,13.328305273966432,72.35999999999999,55.31062725139039,9.549091996067645,72.35999999999999,76.03999999999999,72.35999999999999,59.6,55.47222222222223,54.82222222222223,54.82222222222223,54.82222222222223,17.22175759703724,54.82222222222223,54.82222222222223,19.30244047992401,72.35999999999999,72.35999999999999
9,54.82222222222223,72.35999999999999,13.328305273966432,72.35999999999999,55.31062725139039,9.549091996067645,72.35999999999999,76.03999999999999,72.35999999999999,59.6,55.47222222222223,54.82222222222223,54.82222222222223,54.82222222222223,17.22175759703724,54.82222222222223,54.82222222222223,19.30244047992401,72.35999999999999,72.35999999999999
